"Timestamp","I consent to participate in this study. ","Age (optional)","Gender (optional)","How often do you cook chicken? ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How confident were you on your estimates in the previous section?","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How many days old is this chicken drumette?  ","How confident were you on your estimates in the previous section?","Any queries, comments, or suggestions?"
"2025/10/10 3:21:15 am GMT+9","Yes","29","Male","Several times a week","3","4","1","2","3","5","6","7","1","3","4","6","5","4","3","2","1","6","5","2","4","4",""
"2025/10/10 3:33:34 am GMT+9","Yes","31","Male","Never","4","5","3","2","5","4","6","7","1","2","1","6","5","2","1","4","3","7","5","4","5","2",""
"2025/10/10 10:25:06 pm GMT+9","Yes","22","Male","A few times a year","3","5","6","7","7","6","6","7","4","5","4","4","5","3","6","5","2","6","4","5","5","3","It was slightly hard to tell the difference. For me, everytime I see a yellow spot, I already assume that it is spoilt and probably between 3-4 days. There were no images without yellow, so I assumed that more yellow patches, means more days (?). "
"2025/10/10 10:51:27 pm GMT+9","Yes","52","Female","Several times a week","2","4","2","3","5","5","6","7","1","3","2","2","6","4","3","4","2","6","7","1","5","3","Not so easyâ€¦"
"2025/10/11 12:37:20 am GMT+9","Yes","58","Male","Never","4","2","3","3","4","5","7","6","1","2","2","4","3","2","1","5","6","7","3","2","1","2",""
"2025/10/11 1:50:27 pm GMT+9","Yes","24","Male","Weekly","4","6","2","1","4","3","6","7","1","5","3","6","6","2","3","1","2","6","4","1","5","3",""
"2025/10/11 5:25:34 pm GMT+9","Yes","54","Female","Several times a week","1","2","3","4","5","6","7","3","1","4","1","2","4","3","6","5","3","1","6","1","3","2",""
"2025/10/11 6:57:52 pm GMT+9","Yes","23","Male","Several times a week","2","4","5","6","7","7","5","3","3","4","1","1","3","5","4","6","7","6","3","2","5","2","Thanks for the opportunity of rating chicken, I love looking at chicken, I love chicken. "
"2025/10/11 7:37:56 pm GMT+9","Yes","23","Female","A few times a month","3","6","1","4","5","6","6","7","1","3","4","7","6","4","3","2","1","6","4","1","3","4","bro its easy peasy to recognize the chicken days "
"2025/10/11 10:39:37 pm GMT+9","Yes","18","Male","Several times a week","1","2","5","3","4","7","6","4","1","3","3","3","4","2","1","5","6","7","7","1","3","4",""
"2025/10/12 11:13:56 am GMT+9","Yes","25","Male","Several times a week","1","1","1","1","1","1","1","1","1","1","1","1","2","2","4","6","7","1","3","5","4","2",""
"2025/10/15 4:03:59 pm GMT+9","Yes","22","Male","A few times a month","5","7","3","2","2","1","3","2","5","3","2","1","3","5","2","6","5","6","3","6","5","2",""
"2025/10/15 4:07:48 pm GMT+9","Yes","","","Weekly","5","6","2","4","7","7","6","7","1","3","4","5","6","3","2","6","3","6","7","7","4","2",""
"2025/10/15 4:11:42 pm GMT+9","Yes","21","Male","A few times a month","3","7","6","2","3","4","1","5","6","6","2","2","3","4","3","7","5","1","2","7","6","3","I have a colorblind issue, so whatever samples shown won't really change my confidence"
"2025/10/15 4:16:58 pm GMT+9","Yes","22","Female","A few times a year","5","6","3","2","6","7","3","5","1","2","1","5","6","5","4","3","2","5","6","2","4","2",""
"2025/10/15 5:52:49 pm GMT+9","Yes","29","Male","Several times a week","5","7","1","2","1","3","1","1","7","2","2","3","3","2","1","5","2","1","1","1","2","3",""
"2025/10/15 6:32:58 pm GMT+9","Yes","22","Female","A few times a month","1","3","4","5","6","7","6","7","2","3","3","3","4","4","2","5","5","6","7","5","6","4",""
"2025/10/15 8:41:30 pm GMT+9","Yes","20","Male","Several times a week","1","6","2","5","5","4","1","7","1","2","4","3","5","3","2","7","2","7","7","1","6","3","eat more chicken gang"
"2025/10/16 4:14:00 pm GMT+9","Yes","38","Male","A few times a year","5","2","6","5","5","5","7","6","3","3","3","7","5","3","2","1","1","2","3","1","3","3",""
"2025/10/20 11:38:04 pm GMT+9","Yes","26","Female","Weekly","2","3","1","1","3","3","4","4","1","2","1","3","4","4","5","6","2","7","6","3","3","2",""
"2026/01/12 4:16:04 pm GMT+9","Yes","24","Female","Weekly","4","3","5","3","4","4","5","2","4","7","2","3","6","2","1","1","1","7","5","1","3","3",""
"2026/01/12 4:17:45 pm GMT+9","Yes","21","Male","Weekly","1","7","4","2","1","5","6","7","1","1","1","6","7","1","3","2","1","6","5","3","2","3",""
"2026/01/12 4:19:36 pm GMT+9","Yes","26","Female","A few times a year","7","3","3","1","7","7","5","5","4","2","3","5","5","2","4","2","1","7","6","3","1","4",""
"2026/01/12 4:20:47 pm GMT+9","Yes","18","Female","A few times a month","5","2","3","5","5","4","6","7","3","5","1","7","6","2","2","3","4","6","5","3","2","2",""
"2026/01/12 4:22:37 pm GMT+9","Yes","20","Male","A few times a year","2","3","1","2","4","3","6","6","4","5","2","7","7","2","1","1","1","5","4","3","1","2",""
"2026/01/12 4:23:39 pm GMT+9","Yes","","","Several times a week","7","2","1","6","7","5","3","1","4","2","1","3","6","3","1","2","1","7","6","3","2","3",""
"2026/01/12 4:24:51 pm GMT+9","Yes","19","Male","A few times a month","2","4","5","7","4","6","6","7","3","5","2","7","7","3","3","2","1","7","4","5","2","3",""
"2026/01/12 4:26:14 pm GMT+9","Yes","24","Male","Several times a week","7","6","2","5","7","2","4","7","3","2","2","6","7","3","1","1","2","7","5","4","4","4",""
"2026/01/12 4:27:30 pm GMT+9","Yes","27","Male","Never","2","6","3","5","5","3","3","7","2","5","1","6","6","3","2","2","2","6","6","6","3","1",""
"2026/01/12 4:28:55 pm GMT+9","Yes","19","Female","A few times a year","2","3","2","6","5","7","6","7","4","3","1","5","6","3","2","2","1","7","6","3","2","2",""
"2026/01/12 4:31:11 pm GMT+9","Yes","23","Male","A few times a year","5","2","1","6","5","5","7","6","2","1","3","6","7","4","1","2","1","4","3","3","3","4",""
"2026/01/12 4:32:25 pm GMT+9","Yes","45","Female","Weekly","4","2","6","5","5","6","2","7","3","7","2","6","6","2","2","1","1","6","7","4","3","3",""
"2026/01/12 4:33:35 pm GMT+9","Yes","37","Male","Weekly","6","7","4","7","5","6","5","6","1","2","2","7","6","2","3","3","2","6","7","6","2","2",""
"2026/01/12 4:43:02 pm GMT+9","Yes","24","Female","A few times a year","6","6","1","5","6","2","4","6","2","2","3","6","7","2","1","2","1","7","6","3","4","3",""
"2026/01/12 4:43:59 pm GMT+9","Yes","26","Male","Never","2","6","1","1","5","4","4","7","2","3","2","5","6","2","4","1","1","6","7","5","2","2",""
"2026/01/12 4:44:56 pm GMT+9","Yes","19","Male","Weekly","4","6","1","6","6","4","6","7","3","2","1","4","5","2","1","3","1","7","6","5","2","3",""
"2026/01/12 4:45:53 pm GMT+9","Yes","20","Prefer not to say","Weekly","5","3","2","3","4","4","6","7","1","3","3","7","7","4","3","4","1","6","6","3","2","3",""
"2026/01/12 4:46:55 pm GMT+9","Yes","20","Male","A few times a month","5","6","3","4","5","6","2","6","1","5","1","6","7","3","1","2","2","6","6","4","6","2",""
"2026/01/12 4:47:46 pm GMT+9","Yes","18","Female","A few times a year","5","5","2","4","3","6","6","5","4","2","2","7","6","5","2","2","2","6","5","4","3","2",""
"2026/01/12 4:48:53 pm GMT+9","Yes","","","A few times a year","6","3","5","5","6","7","6","4","3","4","1","6","6","3","2","2","1","7","6","4","5","2",""
"2026/01/12 4:50:45 pm GMT+9","Yes","23","Female","A few times a year","3","6","2","5","4","7","6","6","6","5","1","6","6","6","5","4","2","6","6","4","2","2",""
"2026/01/12 4:51:52 pm GMT+9","Yes","23","Male","A few times a year","3","6","3","4","5","4","6","6","3","5","2","5","4","2","1","3","1","6","4","4","6","2",""
"2026/01/12 4:52:54 pm GMT+9","Yes","20","Male","Weekly","5","7","2","2","6","6","5","6","4","3","2","6","7","5","2","1","1","7","5","2","4","2",""
"2026/01/12 4:54:15 pm GMT+9","Yes","","","A few times a year","5","5","2","6","6","3","5","6","6","2","1","6","7","3","2","4","1","6","5","5","3","2",""
"2026/01/12 4:55:19 pm GMT+9","Yes","26","Male","A few times a year","3","6","5","2","4","5","3","2","2","4","1","6","6","2","3","6","1","7","5","2","3","1",""
"2026/01/12 4:56:13 pm GMT+9","Yes","29","Female","Weekly","6","5","3","6","5","4","4","7","5","6","2","6","6","2","3","1","1","7","6","3","4","2",""
"2026/01/12 4:57:19 pm GMT+9","Yes","","","Several times a week","5","5","2","4","6","7","4","6","6","6","2","6","6","4","4","2","1","6","5","3","2","2",""
"2026/01/12 4:58:12 pm GMT+9","Yes","18","Female","A few times a year","7","4","3","6","5","5","5","6","2","2","2","6","7","4","1","2","1","6","5","3","3","2",""
"2026/01/12 4:59:09 pm GMT+9","Yes","24","Male","A few times a month","6","5","2","2","3","5","6","7","5","3","2","6","7","3","3","2","1","6","6","3","4","2",""
"2026/01/12 5:00:11 pm GMT+9","Yes","19","Male","Several times a week","6","1","3","5","7","3","6","7","7","1","1","6","6","2","3","1","1","7","5","2","3","4",""